id;rarity;name
1;30937;63616c63756c6174696e67
2;95506;63616c63756c6174696e672053706f727473206465706f736974
3;5113;5374616e642d616c6f6e6520536d616c6c205275626265722050697a7a612046696a6920446f6c6c6172
4;11448;656e67696e6565722050726169726965
5;36905;527562626572
6;41894;7265626f6f742046616e74617374696320537465656c20476c6f766573
7;35477;47726f7570205a6c6f7479205a6c6f7479
8;36191;486f6d65204c6f616e204163636f756e7420426561757479206465706f736974
9;91328;536176696e6773204163636f756e74
10;87369;616c61726d
