id;rarity;name
1;62289;526566696e656420496e74656c6c6967656e74204772616e697465205368697274
2;54063;6465706f7369742070616e656c2053747261746567697374
3;51630;616c6c69616e636520726564756e64616e7420676c6f62616c
4;43897;476f7267656f757320456c656374726f6e696373204272616e64
5;83598;536175646920526979616c20706172616469676d73
6;17329;5461626c6520456e74657270726973652d776964652042656e696e
7;71459;696e766f696365
8;27993;4f7065726174696f6e7320616c61726d
9;55435;4372656469742043617264204163636f756e7420706172616469676d73
10;24773;737472617465676963206861636b
