id;name;type;description;asset_name
1;../data/blob/hipster.txt;46077;../data/blob/hipster.txt;../data/blob/hipster.txt
2;../data/blob/hipster.txt;35599;../data/blob/hipster.txt;../data/blob/hipster.txt
3;../data/blob/hipster.txt;20633;../data/blob/hipster.txt;../data/blob/hipster.txt
4;../data/blob/hipster.txt;89421;../data/blob/hipster.txt;../data/blob/hipster.txt
5;../data/blob/hipster.txt;36426;../data/blob/hipster.txt;../data/blob/hipster.txt
6;../data/blob/hipster.txt;12874;../data/blob/hipster.txt;../data/blob/hipster.txt
7;../data/blob/hipster.txt;50341;../data/blob/hipster.txt;../data/blob/hipster.txt
8;../data/blob/hipster.txt;33009;../data/blob/hipster.txt;../data/blob/hipster.txt
9;../data/blob/hipster.txt;69039;../data/blob/hipster.txt;../data/blob/hipster.txt
10;../data/blob/hipster.txt;32158;../data/blob/hipster.txt;../data/blob/hipster.txt
