id;cv_name;series;height;weight;introduction;first_appeared_comic;first_appeared_comic_link;skill_1;skill_1_comic;skill_1_comic_link;skill_2;skill_2_comic;skill_2_comic_link;skill_3;skill_3_comic;skill_3_comic_link
1;../data/blob/hipster.txt;27405;6717;55417;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
2;../data/blob/hipster.txt;40524;65142;49746;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
3;../data/blob/hipster.txt;82974;72020;20642;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
4;../data/blob/hipster.txt;10657;1099;14001;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
5;../data/blob/hipster.txt;13688;26368;90001;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
6;../data/blob/hipster.txt;26649;87389;73218;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
7;../data/blob/hipster.txt;59741;25073;60051;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
8;../data/blob/hipster.txt;63309;66503;49427;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
9;../data/blob/hipster.txt;17537;57329;91441;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
10;../data/blob/hipster.txt;83810;41877;40438;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
