id;name;short_name;description;max_amount;thumbnail_asset_name;end_at
1;47696272616c74617220506f756e64206261636b696e67207570;4c69746875616e69616e204c69746173;4361796d616e2049736c616e6473204261636f6e20736f6c7574696f6e;44022;636f6d7072657373696e6720496e746572616374696f6e73204d6f6e6579204d61726b6574204163636f756e74;39494
2;42616c616e636564204173736f6369617465;636170616369746f722053707572732046756e6374696f6e2d6261736564;7175616e74696679696e67;40879;70726f6a656374696f6e;74486
3;496e74656c6c6967656e74;6465706c6f79;496e6c6574204e6174696f6e616c;12615;4d6574616c20537465656c2047726f63657279;7173
4;7769746864726177616c20706172746e6572736869707320696e707574;4372656469742043617264204163636f756e74204172697a6f6e61204572676f6e6f6d696320576f6f64656e2053616c6164;436f737461205269636120636f6e6e656374696e67;85661;526573706f6e73652055736162696c697479;55482
5;73796e6572676973746963204272616e6420426f6c69766961;426f7264657273;576973636f6e73696e;89579;7769746864726177616c;34905
6;4f7263686573747261746f72206261636b2d656e64;736f6c7574696f6e73206578706c69636974;417267656e74696e65205065736f20556e6272616e64656420436f6e6372657465204261636f6e2063617264;48001;7574696c697a652043686970732072656c6174696f6e7368697073;77069
7;657865637574697665;48616e64637261667465642046726f7a656e204368697073;4372656469742043617264204163636f756e74;11992;7468726f75676870757420414750;23256
8;496e766573746d656e74204163636f756e74207265707572706f7365;4c6963656e73656420436f6e63726574652046697368;7061796d656e74;23633;417765736f6d65;57615
9;537769747a65726c616e64;4272616e64;496e6372656469626c65204d616e61676572;78358;467574757265;19505
10;4f7065726174696f6e732046726f7a656e;7265766f6c7574696f6e697a65204e65772049737261656c692053686571656c;636f6e76657267656e636520436f6e6372657465;12292;496e766573746d656e74204163636f756e7420537564616e65736520506f756e64;77733
