id;target_chara_id;action_master_id;action_skill_exp;name;description;id_id
1;13977;82794;79526;696e6469676f204261636f6e204d6f757365;50726f6772616d6d61626c65207061796d656e74204e6174696f6e616c;4
2;87720;58830;39244;696e646578696e67206d6f64656c7320652d656e61626c65;4d6f6e6579204d61726b6574204163636f756e74205361696e742048656c656e61;5
3;50272;57748;23221;526567696f6e616c2073796e74686573697a65;556e6272616e64656420436f6e637265746520536f617020426f757665742049736c616e642028426f757665746f796129;5
4;93983;33281;62770;63726f73732d6d6564696120576f6f64656e206f70746963616c;426f7264657273207265626f6f74;6
5;78859;99769;15167;6f726368657374726174696f6e20526f62757374206861636b;73616c6d6f6e;8
6;76245;49398;87676;7363616c61626c6520636f6e6e656374696e672046616e746173746963;437265656b20496e766573746d656e74204163636f756e74204275636b696e6768616d7368697265;6
7;14991;48635;22925;6170706c69636174696f6e20647269766572;4372656469742043617264204163636f756e74204e6576616461;8
8;25179;59902;34569;4368697073204e6174696f6e616c20496461686f;766f7274616c732076616c75652d6164646564;7
9;15335;91185;58622;41766f6e;416476616e63656420627573;6
10;93211;10221;56513;54756e697369616e2044696e6172204c65616420616c61726d;7175616e74696679;4
