id;wave_id;grade;is_higher;is_lower;grade_name;look;up_requirement_id;down_requirement_id;win_point;lose_point;grade_up_serif;grade_down_serif;grade_up_chara_asset_name;grade_down_chara_asset_name;grade_up_voice_chara_id;grade_down_voice_chara_id;total_parameter_range_upper;total_parameter_range_lower
1;13669;32670;55133;75669;5269766572206d6167656e7461;20193;29233;85917;33031;67776;4775616d2061676772656761746520706f7274616c73;686575726973746963;6e657572616c;414920726564;52756e;73616c6d6f6e;39343;50678
2;6413;84000;22626;58178;70726f6a656374696f6e20426564666f7264736869726520476f7572646520555320446f6c6c6172;9396;13423;62107;7417;91662;6d6f6e69746f72696e6720486f6d65204c6f616e204163636f756e742073796e74686573697a696e67;63616c63756c6174696e67207669727475616c;636f6c6c61626f726174696f6e;7061796d656e74206d6174726978204d616e61676572;56696c6c652044697665727365;4149;32135;37408
3;98956;27043;15768;29699;696d7061637466756c2041646d696e6973747261746f72;78295;46808;7140;98635;87241;7061796d656e742053656e696f72;696e646578696e6720696e766f696365;32342f3720496e766573746f72;496e647573747269616c2047617264656e20536176696e6773204163636f756e74;636f6c6c61626f726174696f6e;7769746864726177616c20417765736f6d6520506c6173746963205368697274205368697274;58017;19337
4;66176;53707;72113;84940;4572676f6e6f6d696320467265736820436172;66547;42615;61673;94584;62590;646564696361746564;4c6963656e736564204d6f6e6579204d61726b6574204163636f756e74;506f72742053706f7274732073656e736f72;4772616e697465206261636b67726f756e64;4f7263686573747261746f7220696e7465726e657420736f6c7574696f6e;4e6169726120696e766f696365;88132;29383
5;58601;75592;77860;38250;62616e647769647468;67271;90219;78428;38573;66686;496e7465726e6174696f6e616c20616374756174696e6720437573746f6d6572;4d6574616c;536c6f76616b69612028536c6f76616b2052657075626c6963292041766f6e206174746974756465;536176696e6773204163636f756e742064796e616d6963;417765736f6d65;65766f6c766520527573746963;80192;8546
6;91507;38131;75659;84195;44796e616d696320476f7267656f7573205275626265722042696b65204c696c616e67656e69;53376;94791;66698;71683;23369;426f726465727320646973696e7465726d6564696174652050726163746963616c;536c65656b20486f6d65;4c69676874732067656e6572617465206d756c74692d62797465;686f6c6973746963205061726b77617973;646973696e7465726d656469617465204672657368;4d6f756e7461696e20486f6d65204c6f616e204163636f756e74;89552;93580
7;86623;77733;89042;15199;4368616972;10049;26106;73818;27870;70612;546563686e696369616e2042656c61727573206861636b696e67;50697a7a61207061796d656e74;696e766f69636520576573742056697267696e6961206d6963726f63686970;6172746966696369616c20696e74656c6c6967656e636520417373696d696c61746564;556e696f6e7320486f6d65204c6f616e204163636f756e74;706f7274;49011;32203
8;2885;56279;6419;27848;48616e646d6164652042696b65;17394;72190;84269;81066;28431;6d6f6e69746f72204d617373616368757365747473;4c617269206861636b204173736f6369617465;496e7665727365204368696c65616e205065736f20556e69646164657320646520666f6d656e746f;7768697465;4a534f4e204d6172796c616e6420496e74656c6c6967656e7420537465656c2042616c6c;5669657773;29065;84987
9;23357;84494;73598;92421;426f7264657273;24734;79376;40134;26622;71886;534d54502073797374656d73;56696164756374207363616c61626c65;55534220476c6f7665732041766f6e;47656e6572696320576f6f64656e20546f77656c73;73747265616d6c696e6520465450;73796e74686573697a6520626f74746f6d2d6c696e65;76330;88316
10;74546;16704;24582;22278;536f6674206e69636865732053534c;25244;52127;37375;92139;84606;536176696e6773204163636f756e742073796e74686573697a65;6d6f64656c73;52652d656e67696e656572656420416e616c797374;776972656c6573732062616e647769647468;446563656e7472616c697a6564204672657368;526573706f6e736520536f6674;48824;10870
