id;event_id;boost_ratio;name;short_name;thumbnail_asset_name;description
1;59315;6923;70696e6b;696d7061637466756c;50616e7473204572676f6e6f6d696320436f74746f6e204b6579626f617264;47726f636572792053747265616d
2;95444;9800;636170616369746f72;6361726420696e766f696365;5374616e642d616c6f6e65206465706f736974;426f7264657273
3;69709;78629;494220627970617373696e67;4575726f204e6f72746865726e204d617269616e612049736c616e6473;6172726179204b696473;496e7465726e616c204265726b7368697265
4;82472;31137;53444420436172;48616e646372616674656420436f74746f6e2050616e7473;6d6f6e69746f722046697368;52757374696320436f6e6372657465205361757361676573
5;27426;40540;696e74756974697665204d75736963;47726f7570;496e74656c6c6967656e74204772616e6974652053686972742049736c616e64207472616e736d6974;4265726b736869726520436f6e6372657465
6;73899;72686;706f7274205368697274;41766f6e2070726f616374697665204469676974697a6564;4c6561642053616d6f61;42696b6520536c65656b204d6574616c2050616e7473207472616e736d6974
7;81382;2260;446976657273652046697368;537269204c616e6b6120527570656520496e74756974697665204469737472696374;53747261746567697374;534d532044616c6173692044697265637469766573
8;72231;92143;636f6e74656e74;536c65656b20436f74746f6e205361757361676573;646973696e7465726d656469617465204b656e7475636b79206d756c74692d62797465;53534c20546173747920436f74746f6e205361757361676573
9;15824;84347;4272756e656920446f6c6c6172206d756c74692d7461736b696e672050726f64756374;696e6469676f;4c65616420496e766573746d656e74204163636f756e7420617578696c69617279;426564666f72647368697265204275636b696e6768616d73686972652061726368697665
10;13216;50785;436869636b656e207573657273;5765737465726e20536168617261204b616e73617320736b7920626c7565;41766f6e;4d756c74692d6c617965726564205175616c6974792d666f6375736564205475726b7320616e6420436169636f732049736c616e6473
