id;rendition_id;trajectory_type;sprite_name;weight;voice;except_kicker_id
1;72988;7010;544858204275636b696e6768616d7368697265;43850;436865636b696e67204163636f756e74204175746f204c6f616e204163636f756e74204772616e697465;75623
2;26241;27592;43656e7472616c;81785;64796e616d6963203130383070207363616c61626c65;10094
3;47605;96188;696e766f6963652046657272792073796e646963617465;32470;41646d696e6973747261746f72;13474
4;78008;31480;426564666f726473686972652056616c6c6579732050696b65;17578;4772616e69746520506861736564;91452
5;55989;11305;67656e6572617465206f76657272696465;80977;4558452062692d646972656374696f6e616c2052696768742d73697a6564;46550
6;93244;26508;6172726179206465706f73697420455845;8273;4368696566;29334
7;18357;49069;6e6963686573;76031;7573657273204469766973696f6e;90253
8;17076;87216;536c65656b204672657368204b6579626f617264;78163;417765736f6d652048616e646d616465;10116
9;93770;1133;556e6974656420537461746573206f6620416d657269636120456e67696e65657220696e66726173747275637475726573;54075;4167656e74;25518
10;97205;85847;426f736e696120616e64204865727a65676f76696e6120576573742056697267696e6961206b696c6c6572;56158;50726163746963616c20536f667420436172;28468
