id;rule_id;order_num;position;message;asset_name;title
1;13688;51695;68760;546563686e696369616e2073747261746567697a65;46726f7a656e20526566696e6564;4669656c6473206472697665722046726f7a656e
2;51210;98039;27906;4368616972206d6f64656c73;63616c63756c6174696e67;4372657374
3;53114;82222;14637;536f6674204861776169692041646d696e6973747261746f72;4d6f6e6579204d61726b6574204163636f756e74;53534c
4;7227;28288;87588;4c69746875616e696120736368656d6173;636f7079;736572766963652d6465736b204147502063617264
5;66972;50042;79874;547269706c652d6275666665726564;50726163746963616c20506c617374696320436865657365204b616e736173;7061796d656e7420455845
6;40215;22900;6662;43616d6272696467657368697265;6d756c74692d7461736b696e67207765622d656e61626c6564;41766f6e204d697373696f6e
7;65458;66503;10349;5265616c69676e656420436f72706f72617465204b6970;496e74656c6c6967656e7420537465656c20436869636b656e;636f6d7072657373207175616e74696679696e67
8;29217;72424;93102;5361696e74204d617274696e2041727562616e204775696c646572204d6f6e6579204d61726b6574204163636f756e74;77656c6c2d6d6f64756c61746564;576f6f64656e20436f6d70617469626c65
9;81362;52098;61859;63616c63756c6174696e67204265726b73686972652073796e74686573697a65;41766f6e20426f6c697661722046756572746520496e74656c6c6967656e74204d6574616c2050697a7a61;436f6e6372657465204172697a6f6e61
10;88810;10852;47353;696e7075742063726f73732d706c6174666f726d;63756c746976617465204469766973696f6e206d696e7420677265656e;496e6372656469626c6520436f6e63726574652046697368
