id;name;short_name;menu_name;model_id;thumbnail_asset_name;uniform_type;is_default;order_num;description
1;636f6e76657267656e6365204167656e74;7072696d617279;496e74656c6c6967656e7420636f6e6e656374696e67206170706c69636174696f6e73;312;534153;87692;18297;80641;506f6c617269736564207265696e76656e7420636f6e6e656374
2;436f6e676f6c657365204672616e63206465706f736974;4167656e7420486174;4265726b73686972652048616e646d6164652046726f7a656e2054756e61205461626c65;52834;31303830702070696e6b;52737;78777;24068;7175616e74696679204d61696e6520435353
3;616c61726d2048616e646d6164652044657369676e6572;656d6272616365206465706f736974204469737472696374;5370656369616c69737420646973696e7465726d656469617465;36380;54616b612053686f6573;36332;49431;29130;4d6f6e6579204d61726b6574204163636f756e7420536f6170
4;4942204f7065726174696f6e73;4175737472616c69616e20446f6c6c6172205461737479;62616e647769647468206469737472696275746564;14715;506c6173746963;16774;7676;4557;476c6f62616c
5;4f68696f20526566696e6564204d6574616c20436865657365;45584520417373697374616e74;636f6c6c61626f7261746976652046697368;55181;5175616c697479;51786;68671;83191;6e6176696761746520426f7264657273206465706f736974
6;696e7465726e657420736f6c7574696f6e20536c65656b204772616e6974652046697368;65796562616c6c7320536c65656b206469676974616c;46726f7a656e204265726b7368697265204572676f6e6f6d6963;58735;4a6577656c657279;10671;6775;54999;496f7761204f7574646f6f72732052686f64652049736c616e64
7;534d5320707572706c6520486f6d65204c6f616e204163636f756e74;446a69626f757469204672616e63;736f6c7574696f6e;74081;53706f72747320496e7465726e616c2048616e646d61646520436f74746f6e2054756e61;8108;67862;76896;4d6574616c20465450204861697469
8;50726f647563742047726f6365727920536f6c6f6d6f6e2049736c616e647320446f6c6c6172;63616c63756c6174696e67206d6574686f646f6c6f6769657320496e7465726e6174696f6e616c;436c6f7468696e67;82700;61747469747564652d6f7269656e746564204a756e6374696f6e;31209;88021;26855;6e696368657320652d656e61626c65207061796d656e74
9;6361726420496e74656c6c6967656e742052756262657220436869636b656e2048616e646372616674656420436f6e63726574652053616c6164;4a6577656c65727920434f4d;436f6d6d756e69636174696f6e73207072696d617279;15624;617263686974656374204575726f;93840;50409;98771;696e707574204e6577204a65727365792067656e6572617465
10;736f6c7574696f6e73;7061796d656e7420414750204d616e61676572;4175746f204c6f616e204163636f756e74205376616c626172642026204a616e204d6179656e2049736c616e6473;769;636f7079696e6720706978656c;66182;58444;6878;657874656e7369626c6520436f6e66696775726174696f6e
