id;asset_name;sub_asset_name;offset;background_asset_name;decoration_asset_name;effect_asset_name
1;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
2;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
3;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
4;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
5;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
6;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
7;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
8;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
9;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
10;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt;../data/blob/hipster.txt
