id;serif_id;serif_1;serif_2
1;20371;656666696369656e7420506c617a61206173796e6368726f6e6f7573;44697265637469766573206d6f62696c65
2;37392;57617368696e67746f6e;4c656164
3;52536;66656564;544858204c6f75697369616e61
4;53213;696e637562617465;41766f6e
5;57953;7570776172642d7472656e64696e6720626c656564696e672d656467652048616e6463726166746564;467574757265
6;9011;627970617373;6d756c74692d6279746520476f7267656f7573204d6574616c20436869636b656e
7;27255;52414d20426f7264657273206172746966696369616c20696e74656c6c6967656e6365;414920426f7264657273
8;80796;72696368;7765622d72656164696e657373
9;34823;70726f6772616d;54656e6e65737365652047726f63657279
10;52057;7472616e73666f726d20546578617320536f6d616c69205368696c6c696e67;73696c76657220576f6f64656e
