id;rarity_group_id;count_type;is_starting;description;icon_name;small_icon_name
1;75513;46991;58662;6f766572726964696e6720496e6372656469626c65;626c7565746f6f746820496e7465726e616c;7669727475616c20636f686572656e74
2;94088;67849;12434;4a424f44;6369726375697420696e6e6f7661746520436865636b696e67204163636f756e74;67726f77204265726b73686972652057796f6d696e67
3;93593;1049;67225;4375727665206e657572616c20436f6d6d756e69636174696f6e73;686f6c6973746963;536d616c6c206f70656e2d736f75726365206c6f63616c
4;13217;35154;43985;6465706f736974207472616e73666f726d;527562626572;43656e7472616c
5;38321;75212;21633;6e6574776f726b7320496e74656c6c6967656e74204672657368205461626c65206f766572726964696e67;6576656e2d6b65656c6564204275636b696e6768616d7368697265;43756261
6;82593;93537;63145;6f6e6c696e6520436865636b696e67204163636f756e74;557365722d667269656e646c7920455845;496e766573746d656e74204163636f756e74
7;22048;1433;62565;416c61736b61204261636f6e;67656e65726174696e67;636f707920537269204c616e6b61204f7074696d697a6564
8;66652;37380;8010;73796e657267696573204b6579626f617264;6f76657272696465;656e67616765
9;5115;38510;39779;43616d62726964676573686972652043616d6272696467657368697265206d6f727068;707572706c65204d696c6c73204d6f76696573;417765736f6d652052756262657220486174
10;56601;99458;87803;496c6c696e6f6973;537465656c2044697265637420617578696c69617279;6379616e204d616461676173636172207769746864726177616c
