id;asset_name;name;description
1;506572736f6e616c204c6f616e204163636f756e742045637561646f72204265726b7368697265;496e7465726e616c204469726563746f7220652d627573696e657373;486174
2;506f756e6420537465726c696e67;536f6674;4572676f6e6f6d696320537465656c204261636f6e
3;506c617374696320636f7079;43616d6272696467657368697265;6d6963726f63686970
4;70726f6365737320696d70726f76656d656e74;4265726b7368697265206f6e6c696e65204d6963726f6e65736961;436f6e73756c74616e7420496e74756974697665
5;436c6f7468696e672067656e65726174696e672065766f6c7665;41666768616e6920536c65656b20527562626572204368697073;636f6d706f736974652067656e6572617465204b77616e7a61
6;6e617669676174696e672047726f766573206c6176656e646572;506c6174696e756d;4572676f6e6f6d696320436f6e63726574652053686f6573
7;6f7263686964204f7074696d697a6564;537465656c206e6f6e2d766f6c6174696c6520457874656e646564;696e646578
8;6472697665722074616e20696e74756974697665;4a424f4420585353;726564756e64616e742046726f6e742d6c696e65
9;63617264;6469646163746963204265726b7368697265;526566696e65642070726f6772616d2047617264656e
10;436f73746120526963616e20436f6c6f6e20636f7265;7061796d656e74;4a6577656c6572792065796562616c6c732063697263756974
