id;message_type;message_key
1;24149;496e6372656469626c6520436f74746f6e20476c6f7665732046726f7a656e
2;2242;63757474696e672d6564676520726564756e64616e7420416c6162616d61
3;31277;7769746864726177616c
4;23201;426f6f6b73
5;76435;4372656469742043617264204163636f756e7420636f70792052757374696320467265736820486174
6;61952;57617368696e67746f6e
7;62461;4149204d6172796c616e64
8;58095;4f7263686573747261746f72
9;75673;62616e6477696474682070616e656c20696e637562617465
10;22887;4175746f204c6f616e204163636f756e74204d61726b657473
