id;character_id;team_id;is_win;text;sound_event;mcharacter_id
1;75879;85348;95311;496e6372656469626c6520527562626572204261636f6e20652d7365727669636573;4d6f76696573;10
2;56265;59212;47904;526566696e656420436865636b696e67204163636f756e74206d6963726f63686970;737570706f72742067726f75707761726520696e766f696365;7
3;86542;49458;29650;5368697274;496e646961205061726b77617973;2
4;58338;64951;74998;4265726b7368697265;627573;1
5;30976;56998;97129;537465656c20496d706c656d656e746174696f6e;496e746567726174696f6e;6
6;4657;99722;70511;636f6e6e656374696e67206e6963686573;6d617472696365732050726f616374697665206e6578742d67656e65726174696f6e;5
7;29680;19199;35426;467574757265;57616c6b7320696e766f6963652052414d;3
8;82372;18372;40983;4167656e74204272616e6368;54756772696b20486176656e;2
9;7502;32102;89565;6f70746963616c;4275636b696e6768616d7368697265;6
10;62584;59368;40914;4e6574776f726b656420544350;7265616c2d74696d6520536f617020427572756e6469204672616e63;1
