id;name;version;path;jhi_size
1;525353204d6f746f72776179;2119;4f70656e2d6172636869746563746564;47562
2;6368616e6e656c73;86037;5361696e742050696572726520616e64204d697175656c6f6e;68963
3;506c617a61206d696e647368617265;44628;766f7274616c7320486f6e647572617320496d706c656d656e746564;89105
4;696e6974696174697665204672657368;9655;47616d657320696e66726173747275637475726573206f7263686964;2164
5;416e646f727261;67997;496e74656c6c6967656e7420566961647563742073796e74686573697a65;98580
6;446a69626f757469204672616e6320456e74657270726973652d77696465206669726577616c6c;59792;6f72616e6765;85111
7;696e697469617469766573;96197;6170706c69636174696f6e;64456
8;647269766572;47809;43616d627269646765736869726520636f7079696e67;68092
9;437573746f6d6572;89082;436f6e73756c74616e74204e7565766f20536f6c20426564666f72647368697265;16631
10;62616e647769647468206e6174696f6e616c;28294;566572736174696c652041475020544350;63097
