id;rendition_id;is_ssr;weight;ball_texture_name;trajectory_normal_texture_name;trajectory_gold_texture_name;trajectory_rainbow_texture_name
1;69340;14050;99064;6c656164696e6720656467652043616d6272696467657368697265;636f6e74656e74;414450204d617572697469757320527570656520534153;55746168
2;96021;5976;66033;47696272616c74617220486f6d6520636f6e76657267656e6365;4d6f62696c697479;70696e6b;435353
3;39605;12561;19915;6d657472696373;7265626f6f74206170706c69636174696f6e;426564666f72647368697265204167656e74204372657374;676c6f62616c
4;58674;43607;10290;636170616369746f72;7472616e736d69742068756d616e2d7265736f75726365;4669736820636170616369746f72;584d4c
5;51519;7553;77465;4e6f7274682044616b6f74612048656172642049736c616e6420616e64204d63446f6e616c642049736c616e6473;5265736561726368;506974636169726e2049736c616e6473206e6f6e2d766f6c6174696c6520436f6d707574657273;6465706f73697420706c756d204772616e697465
6;99946;96881;62237;706172616469676d7320696e7465726d656469617465;6261636b696e6720757020457865637574697665;47617264656e2043616d6272696467657368697265;677265656e204372656469742043617264204163636f756e74
7;40571;23039;4108;686f6c6973746963206e656564732d62617365642053696c766572;46756e6374696f6e616c697479204275636b696e6768616d736869726520417a65726261696a616e69616e204d616e6174;477565726e73657920476f7267656f75732046726f7a656e20536175736167657320696e707574;676f6c6420506f7274
8;79645;96894;54706;696e766f6963652067656e657261746520436865636b696e67204163636f756e74;5361696e742048656c656e6120536f6674;7769746864726177616c20657874656e7369626c65;496e647573747269616c2079656c6c6f77
9;49133;26850;95050;67656e657261746520696e697469617469766573;6d6574686f646963616c20496e6372656469626c65204d6574616c20536869727420446f776e2d73697a6564;417263686974656374204672657368;7765622d72656164696e65737320436f6e6372657465
10;52431;78047;96295;436865636b696e67204163636f756e74;5374726565747320426f6f6b732048616e6463726166746564;7265616c2d74696d652056697267696e69612073797374656d61746963;53445220496e74656c6c6967656e7420536f66742050697a7a61
