id;caution;description;image_asset_name
1;92913;657874656e7369626c65204e65772043616c65646f6e6961;57656c6c73
2;44305;426f72646572732053415320526f6164;486f6d65204c6f616e204163636f756e74205461737479204772616e697465204261636f6e20496e6469616e205275706565204e67756c7472756d
3;67753;7472616e73666f726d20466163746f72732054756e61;48616e6463726166746564204d6574616c20436869636b656e20546563686e696369616e
4;6980;43617065205665726465;696e766f69636520496e766573746d656e74204163636f756e74204d6f757365
5;70513;50617373;537472656574204469726563746976657320536d616c6c204d6574616c20436865657365
6;2496;436869636b656e20537472656574;776972656c65737320496e746572616374696f6e73
7;53593;43616d6272696467657368697265207472616e736974696f6e;4e65772048616d707368697265
8;83379;696e766f696365;50656e6e73796c76616e6961
9;59284;6469737472696275746564;4b77616e7a61
10;6652;436c6f6e656420496e766573746f72;41475020534d53
