id;name;short_name;menu_name;up_model_id;bottom_model_id;thumbnail_asset_name;uniform_type;is_default;order_num;description
1;4d6f6e6579204d61726b6574204163636f756e7420526566696e656420446976696465;73797374656d617469632047656e6572696320436f74746f6e2054756e61;4461746120546563686e696369616e;65339;43672;7061796d656e742046616e74617374696320576f6f64656e204368697073;62694;70502;64136;627970617373
2;48616e646d61646520436f6e637265746520436869636b656e20566572736174696c65;7465616c204e65746865726c616e6473;73696c766572207465616c;47123;52321;7765622d656e61626c6564204972616e204f7267616e697a6564;4761;25721;57256;737469636b7920546f77656c73
3;41727562616e204775696c646572;46756e6374696f6e616c6974792052686f64652049736c616e64206f70656e2d736f75726365;53616c616420696e746572616374697665;59774;57394;426f7264657273;73327;86306;56665;686575726973746963
4;506861736564;41766f6e205461737479;636f6e76657267656e6365206e657572616c;14264;7610;63757474696e672d656467652063616c63756c6174696e6720696e766f696365;28995;16719;84533;426f726465727320426f7264657273
5;5853532067726579204b6579626f617264;73756363657373;536f6c7574696f6e73;56963;39552;436f6d6d756e69636174696f6e7320484444;51144;17030;56522;47726f6365727920736b7920626c756520426f6f6b73
6;6861636b207472616e736d697474696e67204372656469742043617264204163636f756e74;4f70656e2d736f7572636520536f617020496e766573746d656e74204163636f756e74;776972656c65737320496e6c657420436f72646f6261204f726f;62142;31076;436f6e73756c74616e742067656e6572617465204175746f204c6f616e204163636f756e74;42325;49725;61815;6f75742d6f662d7468652d626f782047616d6573207265766f6c7574696f6e697a65
7;4e65746865726c616e647320416e74696c6c6573204578656375746976652063697263756974;6661756c742d746f6c6572616e74;426564666f72647368697265;83901;57720;477579616e6120426f72646572732068617264206472697665;31653;12605;78206;50616e7473
8;6f6c69766520436869636b656e20536c65656b20467265736820436869636b656e;476f7267656f7573;677265656e20437572766520426f7264657273;20828;73941;48616e646d61646520526567696f6e616c;97360;58545;60595;457874656e73696f6e20696e707574
9;6f6e6c696e65;4e6174696f6e616c20466163746f7273;466f727420636f6e7465787475616c6c792d626173656420652d7461696c657273;69207;44131;6672616d6520617263686974656374204372656469742043617264204163636f756e74;76252;92121;73555;6e657572616c
10;43616e796f6e;6861707469632048656172642049736c616e6420616e64204d63446f6e616c642049736c616e6473204f68696f;467574757265;32025;63835;53534c2044796e616d6963;50041;77789;54547;73796e74686573697a696e67
