id;rendition_id;main_prefab_name;voice_start_cut_in;serif
1;45341;506c616e6e6572;506c6173746963;426f726465727320426f7264657273
2;31593;696e74657266616365;736f6c69642073746174652044617461204942;4972616e20636f7079696e67
3;30350;7472616e73666f726d;4c6562616e65736520506f756e64;646564696361746564
4;96161;636f6c6c61626f726174696f6e205275737469632042687574616e;436f6c6f7261646f;67726579204d6f756e7461696e73
5;43325;6e657572616c20636170616369746f72206e6574776f726b73;4b616e73617320436865657365;536d616c6c20537465656c2054756e61
6;79554;4d697373696f6e20537465656c204f7065726174697665;436f6e66696775726174696f6e204372656469742043617264204163636f756e74206f6e6c696e65;556b7261696e6520436f6e73756c74616e742050726f6475636572
7;21526;7072696d617279;426564666f72647368697265;436f646573207370656369666963616c6c7920726573657276656420666f722074657374696e6720707572706f736573
8;40500;436f6e66696775726174696f6e;73796e646963617465;4368696566
9;90411;5368697274207363616c61626c65;5377697373204672616e632077656c6c2d6d6f64756c61746564;496e766573746f722046697368
10;12115;536c65656b204e6174696f6e616c20676f6c64;68696572617263687920426f7264657273;526566696e656420436f6e6372657465205461626c65204d61726b657473
