id;background_id;background_color;upper_id;upper_color;middle_id;middle_color;lower_id;lower_color;id_id
1;51908;../data/blob/hipster.txt;84716;../data/blob/hipster.txt;47918;../data/blob/hipster.txt;91423;../data/blob/hipster.txt;1
2;81376;../data/blob/hipster.txt;34124;../data/blob/hipster.txt;10891;../data/blob/hipster.txt;38019;../data/blob/hipster.txt;2
3;39882;../data/blob/hipster.txt;52662;../data/blob/hipster.txt;58017;../data/blob/hipster.txt;24606;../data/blob/hipster.txt;6
4;47669;../data/blob/hipster.txt;60790;../data/blob/hipster.txt;39436;../data/blob/hipster.txt;76488;../data/blob/hipster.txt;6
5;81298;../data/blob/hipster.txt;74687;../data/blob/hipster.txt;71812;../data/blob/hipster.txt;71549;../data/blob/hipster.txt;10
6;52123;../data/blob/hipster.txt;1823;../data/blob/hipster.txt;82239;../data/blob/hipster.txt;19577;../data/blob/hipster.txt;5
7;756;../data/blob/hipster.txt;89671;../data/blob/hipster.txt;64747;../data/blob/hipster.txt;7128;../data/blob/hipster.txt;9
8;95466;../data/blob/hipster.txt;24348;../data/blob/hipster.txt;65469;../data/blob/hipster.txt;92703;../data/blob/hipster.txt;4
9;6026;../data/blob/hipster.txt;19715;../data/blob/hipster.txt;93443;../data/blob/hipster.txt;47918;../data/blob/hipster.txt;4
10;19455;../data/blob/hipster.txt;10142;../data/blob/hipster.txt;16633;../data/blob/hipster.txt;48587;../data/blob/hipster.txt;7
