id;ap_recovery_item_type;name;description;thumbnail_asset_name
1;74270;652d636f6d6d6572636520627269636b732d616e642d636c69636b73206472697665;41766f6e2053797269616e20417261622052657075626c696320426f7264657273;7765622d72656164696e65737320696e74657266616365
2;48666;48444420466f7277617264;7769746864726177616c20506c616e6e6572;4e6174696f6e616c
3;21066;496e766573746d656e74204163636f756e7420696e766f696365;437573746f6d65722d666f63757365642073796e74686573697a652069746572617465;54756e6120496d706c656d656e746564
4;97139;536869727420534444;636f6d6d756e697469657320526566696e6564;50696b6520426f7264657273
5;35923;436865636b696e67204163636f756e742054756e61;746f6f6c73657420696e63656e746976697a65;6465706f736974206d61747269636573207175616e74696679
6;13087;4d616e6167657220466f7264;534444;476c6f766573204a6f7264616e
7;33700;6861636b696e6720636f6e74656e74205065727365766572696e67;4173737572616e63652044652d656e67696e6565726564;5368697274204b696473
8;73640;7061796d656e742053707572;7472616e736d697474657220506173736167652053435349;736b7920626c756520537465656c
9;26974;527573746963204772616e6974652042696b652050726f6772616d2047656e6572696320576f6f64656e2042696b65;536175736167657320496e6372656469626c65;426f7264657273
10;4157;53686972742041726368697465637420446576656c6f706572;4175746f6d6f74697665;696e766f696365
