id;rendition_id;is_many_ssr;is_ssr;weight;pattern;normal_prefab_name;flash_back_prefab_name_1;flash_back_prefab_name_2;flash_back_prefab_name_3;flash_back_prefab_name_4;voice_prefix;se_normal;se_flash_back;except_kicker_id
1;88827;6134;45994;71456;60697;73696c766572206d756c74692d62797465;676c6f62616c204c65736f74686f20457865637574697665;4e6f7274682044616b6f746120426564666f7264736869726520536f6674;6e6176696761746520696e74657266616365;496f776120436f6d707574657273;436c6f7468696e6720657865637574697665204175737472616c6961;636f7079;53534c204d6f6e6579204d61726b6574204163636f756e7420536176696e6773204163636f756e74;40336
2;57693;67647;15484;18993;35619;4272617a696c69616e205265616c204e6f727468204361726f6c696e61206861726e657373;7175616e7469667920416c62616e6961;52757374696320544858;446576656c6f706572;53656e696f72206578706c696369742063756c746976617465;43616d627269646765736869726520696e766f696365;62757320536c65656b20576f6e;7765622d656e61626c65642070726f746f636f6c;28698
3;19106;24988;79051;35624;45395;6f70656e2073797374656d;4175746f204c6f616e204163636f756e74204275636b696e6768616d7368697265;7472616e736974696f6e616c20537465656c;7265626f6f74;4d696e6e65736f7461204d61727368616c6c2049736c616e647320506572736f6e616c204c6f616e204163636f756e74;676f6c64204d616365646f6e6961;436f6e6372657465204672657368;4368696566207669727475616c;19535
4;86954;8674;76409;60544;24781;42616279;5265756e696f6e;706c756d2073747261746567697a65;6c696d65206172726179;7265696e7465726d656469617465204275636b696e6768616d7368697265;7472616e736d6974204f666669636572;7072696d617279;656666696369656e742073796e74686573697a6520746563686e6f6c6f67696573;81778
5;13839;54932;66576;92979;52467;6465706f73697420626c656564696e672d6564676520496e766573746f72;436c6f6e6564206465706c6f79;636f6d7072657373206d756c74692d62797465204275636b696e6768616d7368697265;476f7267656f7573204265726b7368697265207465727469617279;44796e616d696320476f6c6420414450;66756368736961;67726f757077617265205461626c65;4d617373616368757365747473;52117
6;25119;14977;32056;6557;13497;6c656164696e672065646765204c6f75697369616e6120736368656d6173;7363616c6520736f6c6964207374617465;627970617373;4d6f62696c697479;4261636f6e20506c6173746963;696e766f69636520414750;526566696e656420576f6f64656e20546f77656c73;4372656469742043617264204163636f756e7420456779707420434f4d;4343
7;52757;26102;65543;87576;23318;54435020696e737472756374696f6e207365742054756772696b;7365697a65;63726f73732d706c6174666f726d;626c7565206e657572616c;6d61726f6f6e2043656469207669727475616c;4275636b696e6768616d736869726520616c61726d;7365616d6c6573732063726f73732d706c6174666f726d;6c6f63616c2061726561206e6574776f726b;2485
8;74539;391;37895;22720;30276;53756d6d69742073796e74686573697a696e67;696e7465726d6564696174652050726f6772616d6d61626c6520547269706c652d6275666665726564;536c65656b204d616e6461746f7279;676f6c642046726573682047726f63657279;48616e6463726166746564;456e74657270726973652d7769646520476c656e73;70726f6772616d20556e6272616e646564;696e646578204b6964732043616c69666f726e6961;78658
9;33735;1728;8970;54968;96154;6f6e6c696e6520416c6c657920416476616e636564;616374696f6e2d6974656d73204b6579626f617264207061796d656e74;44697265637469766573204f7574646f6f7273204d6f6e69746f726564;576f6f64656e206861636b206d756c74692d62797465;494220527565;534d5450206d61726b657473207061727365;6d6f64656c73206261636b67726f756e64204d6f6e74616e61;43616c69666f726e6961;17421
10;142;96289;44958;17557;83686;56697267696e6961;476c656e20476f7267656f757320527562626572204b6579626f61726420536176696e6773204163636f756e74;7a65726f2061646d696e697374726174696f6e;54756e6973696120576973636f6e73696e2044656e6d61726b;41475020656d756c6174696f6e;43616d6272696467657368697265;6465706f73697420536f617020736368656d6173;46697368;1502
