id;stage_id;image;model_name;bgm_offencing;bgm_defencing;bgm_hurrying
1;14950;43616c69666f726e6961207061796d656e7420707572706c65;6d617472697820636f6d6d756e6974696573;456173742043617269626265616e20446f6c6c6172;47726f6365727920436869656620555342;5269766572
2;56933;53797269616e20506f756e64;55746168206672616d65;6f70656e2061726368697465637475726520617a757265;537465656c;414750205475726b697368204c697261
3;66053;4372656469742043617264204163636f756e74;53686f6573204175746f204c6f616e204163636f756e7420636f7079696e67;4d6f62696c6974792044656e617220546f74616c;4e65627261736b6120436f72706f72617465;4d6f6e74616e6120636f6e74696e67656e6379
4;5234;4d61726b6574696e6720696e766f696365;5275737369616e205275626c65204469726563746f7220536c65656b;434641204672616e632042454143;696e63656e746976697a652054726166666963776179204a534f4e;436170652056657264652045736375646f20496e746572616374696f6e73
5;39787;496e746572616374696f6e73;536d616c6c204d6574616c2053616c616420536c65656b204d6574616c2053686f657320546f7973;53686f657320436f726e65722063616c63756c6174696e67;426564666f72647368697265;426f6f6b73
6;41571;62616e647769647468207072696d617279;6d697373696f6e2d637269746963616c207769746864726177616c20547576616c75;7061727365;534d532055702d73697a6564;636170616369746f72
7;36837;6361726420536c65656b20436f74746f6e20436865657365;4d6f757365206261636b207570;4772616e69746520696e766f696365206261636b2d656e64;4d6f6e6579204d61726b6574204163636f756e742050696e6520657870657269656e636573;50616e7473
8;71764;636f6d7072657373;73797374656d61746963;617578696c69617279204261627920496e74656c6c6967656e74;496e6372656469626c65;426564666f72647368697265
9;53234;657865637574697665205072696e636970616c;4173736f636961746520652d7461696c657273;416d65726963616e2053616d6f612061726368697465637475726573206f7074696d697a696e67;676f6c64;4c696169736f6e
10;32954;73796e64696361746520496e766573746d656e74204163636f756e74;6e696368657320556e64657270617373207175616e74696679;537072696e6773;506c6174696e756d207472616e736d6974;536c65656b20506c61737469632042696b65204d6f756e7461696e732074696d652d6672616d65
