id;asset_name;start_at;end_at;label_end_at;scene_transition;scene_transition_param;order_num;appeal_type;appeal_content_id
1;../data/blob/hipster.txt;3700;65016;59626;36469;../data/blob/hipster.txt;23000;56067;12056
2;../data/blob/hipster.txt;48106;7695;88499;69628;../data/blob/hipster.txt;53026;33987;44103
3;../data/blob/hipster.txt;72476;40448;6535;57242;../data/blob/hipster.txt;31529;80397;53949
4;../data/blob/hipster.txt;53840;79072;66165;31875;../data/blob/hipster.txt;73785;62589;52016
5;../data/blob/hipster.txt;88597;42681;61586;87666;../data/blob/hipster.txt;23295;41750;2440
6;../data/blob/hipster.txt;46194;87009;99034;2126;../data/blob/hipster.txt;23;87470;18547
7;../data/blob/hipster.txt;52893;38396;93906;93258;../data/blob/hipster.txt;79878;7002;99793
8;../data/blob/hipster.txt;948;35071;5268;76718;../data/blob/hipster.txt;8854;40193;3759
9;../data/blob/hipster.txt;47987;47978;62750;58075;../data/blob/hipster.txt;87367;27168;98408
10;../data/blob/hipster.txt;39828;76827;9169;41776;../data/blob/hipster.txt;33637;42135;52251
